;A;B
11-11-2024 00:00;8742.573;8115.3025
11-11-2024 01:00;8543.4435;7749.0625
11-11-2024 02:00;8569.2825;7402.47
11-11-2024 03:00;8735.756;7271.615
11-11-2024 04:00;9194.647;7246.825
11-11-2024 05:00;10073.8465;7470.8575
11-11-2024 06:00;11857.5685;7857.56
11-11-2024 07:00;13015.524;8139.005
11-11-2024 08:00;13609.3955;8404.0825
11-11-2024 09:00;13751.1025;9008.0025
11-11-2024 10:00;13911.446;9390.595
11-11-2024 11:00;19000.01;14400.01
11-11-2024 12:00;13881.655;9525.23
11-11-2024 13:00;13787.7045;9461.1625
11-11-2024 14:00;13492.111;9288.26
11-11-2024 15:00;13432.3685;9091.92
11-11-2024 16:00;13450.915;9242.3325
11-11-2024 17:00;17100.01;14400.01
11-11-2024 18:00;18100.01;16000.01
11-11-2024 19:00;13377.117;9873.2875
11-11-2024 20:00;12708.2805;9410.17
11-11-2024 21:00;11939.703;9066.8825
11-11-2024 22:00;11235.1165;8839.5975
11-11-2024 23:00;10454.528;8604.735
