Timestep,Day,DayOfYear,HourOfDay,Weight_days
1,1,32,0,43.53428519818616
2,1,32,1,43.53428519818616
3,1,32,2,43.53428519818616
4,1,32,3,43.53428519818616
5,1,32,4,43.53428519818616
6,1,32,5,43.53428519818616
7,1,32,6,43.53428519818616
8,1,32,7,43.53428519818616
9,1,32,8,43.53428519818616
10,1,32,9,43.53428519818616
11,1,32,10,43.53428519818616
12,1,32,11,43.53428519818616
13,1,32,12,43.53428519818616
14,1,32,13,43.53428519818616
15,1,32,14,43.53428519818616
16,1,32,15,43.53428519818616
17,1,32,16,43.53428519818616
18,1,32,17,43.53428519818616
19,1,32,18,43.53428519818616
20,1,32,19,43.53428519818616
21,1,32,20,43.53428519818616
22,1,32,21,43.53428519818616
23,1,32,22,43.53428519818616
24,1,32,23,43.53428519818616
25,2,116,0,46.39698671729721
26,2,116,1,46.39698671729721
27,2,116,2,46.39698671729721
28,2,116,3,46.39698671729721
29,2,116,4,46.39698671729721
30,2,116,5,46.39698671729721
31,2,116,6,46.39698671729721
32,2,116,7,46.39698671729721
33,2,116,8,46.39698671729721
34,2,116,9,46.39698671729721
35,2,116,10,46.39698671729721
36,2,116,11,46.39698671729721
37,2,116,12,46.39698671729721
38,2,116,13,46.39698671729721
39,2,116,14,46.39698671729721
40,2,116,15,46.39698671729721
41,2,116,16,46.39698671729721
42,2,116,17,46.39698671729721
43,2,116,18,46.39698671729721
44,2,116,19,46.39698671729721
45,2,116,20,46.39698671729721
46,2,116,21,46.39698671729721
47,2,116,22,46.39698671729721
48,2,116,23,46.39698671729721
49,3,138,0,97.11387796395856
50,3,138,1,97.11387796395856
51,3,138,2,97.11387796395856
52,3,138,3,97.11387796395856
53,3,138,4,97.11387796395856
54,3,138,5,97.11387796395856
55,3,138,6,97.11387796395856
56,3,138,7,97.11387796395856
57,3,138,8,97.11387796395856
58,3,138,9,97.11387796395856
59,3,138,10,97.11387796395856
60,3,138,11,97.11387796395856
61,3,138,12,97.11387796395856
62,3,138,13,97.11387796395856
63,3,138,14,97.11387796395856
64,3,138,15,97.11387796395856
65,3,138,16,97.11387796395856
66,3,138,17,97.11387796395856
67,3,138,18,97.11387796395856
68,3,138,19,97.11387796395856
69,3,138,20,97.11387796395856
70,3,138,21,97.11387796395856
71,3,138,22,97.11387796395856
72,3,138,23,97.11387796395856
73,4,230,0,40.25148227827839
74,4,230,1,40.25148227827839
75,4,230,2,40.25148227827839
76,4,230,3,40.25148227827839
77,4,230,4,40.25148227827839
78,4,230,5,40.25148227827839
79,4,230,6,40.25148227827839
80,4,230,7,40.25148227827839
81,4,230,8,40.25148227827839
82,4,230,9,40.25148227827839
83,4,230,10,40.25148227827839
84,4,230,11,40.25148227827839
85,4,230,12,40.25148227827839
86,4,230,13,40.25148227827839
87,4,230,14,40.25148227827839
88,4,230,15,40.25148227827839
89,4,230,16,40.25148227827839
90,4,230,17,40.25148227827839
91,4,230,18,40.25148227827839
92,4,230,19,40.25148227827839
93,4,230,20,40.25148227827839
94,4,230,21,40.25148227827839
95,4,230,22,40.25148227827839
96,4,230,23,40.25148227827839
97,5,271,0,36.60237753673532
98,5,271,1,36.60237753673532
99,5,271,2,36.60237753673532
100,5,271,3,36.60237753673532
101,5,271,4,36.60237753673532
102,5,271,5,36.60237753673532
103,5,271,6,36.60237753673532
104,5,271,7,36.60237753673532
105,5,271,8,36.60237753673532
106,5,271,9,36.60237753673532
107,5,271,10,36.60237753673532
108,5,271,11,36.60237753673532
109,5,271,12,36.60237753673532
110,5,271,13,36.60237753673532
111,5,271,14,36.60237753673532
112,5,271,15,36.60237753673532
113,5,271,16,36.60237753673532
114,5,271,17,36.60237753673532
115,5,271,18,36.60237753673532
116,5,271,19,36.60237753673532
117,5,271,20,36.60237753673532
118,5,271,21,36.60237753673532
119,5,271,22,36.60237753673532
120,5,271,23,36.60237753673532
121,6,289,0,25.924312063231188
122,6,289,1,25.924312063231188
123,6,289,2,25.924312063231188
124,6,289,3,25.924312063231188
125,6,289,4,25.924312063231188
126,6,289,5,25.924312063231188
127,6,289,6,25.924312063231188
128,6,289,7,25.924312063231188
129,6,289,8,25.924312063231188
130,6,289,9,25.924312063231188
131,6,289,10,25.924312063231188
132,6,289,11,25.924312063231188
133,6,289,12,25.924312063231188
134,6,289,13,25.924312063231188
135,6,289,14,25.924312063231188
136,6,289,15,25.924312063231188
137,6,289,16,25.924312063231188
138,6,289,17,25.924312063231188
139,6,289,18,25.924312063231188
140,6,289,19,25.924312063231188
141,6,289,20,25.924312063231188
142,6,289,21,25.924312063231188
143,6,289,22,25.924312063231188
144,6,289,23,25.924312063231188
145,7,338,0,40.75273189647754
146,7,338,1,40.75273189647754
147,7,338,2,40.75273189647754
148,7,338,3,40.75273189647754
149,7,338,4,40.75273189647754
150,7,338,5,40.75273189647754
151,7,338,6,40.75273189647754
152,7,338,7,40.75273189647754
153,7,338,8,40.75273189647754
154,7,338,9,40.75273189647754
155,7,338,10,40.75273189647754
156,7,338,11,40.75273189647754
157,7,338,12,40.75273189647754
158,7,338,13,40.75273189647754
159,7,338,14,40.75273189647754
160,7,338,15,40.75273189647754
161,7,338,16,40.75273189647754
162,7,338,17,40.75273189647754
163,7,338,18,40.75273189647754
164,7,338,19,40.75273189647754
165,7,338,20,40.75273189647754
166,7,338,21,40.75273189647754
167,7,338,22,40.75273189647754
168,7,338,23,40.75273189647754
169,8,361,0,34.42394634583566
170,8,361,1,34.42394634583566
171,8,361,2,34.42394634583566
172,8,361,3,34.42394634583566
173,8,361,4,34.42394634583566
174,8,361,5,34.42394634583566
175,8,361,6,34.42394634583566
176,8,361,7,34.42394634583566
177,8,361,8,34.42394634583566
178,8,361,9,34.42394634583566
179,8,361,10,34.42394634583566
180,8,361,11,34.42394634583566
181,8,361,12,34.42394634583566
182,8,361,13,34.42394634583566
183,8,361,14,34.42394634583566
184,8,361,15,34.42394634583566
185,8,361,16,34.42394634583566
186,8,361,17,34.42394634583566
187,8,361,18,34.42394634583566
188,8,361,19,34.42394634583566
189,8,361,20,34.42394634583566
190,8,361,21,34.42394634583566
191,8,361,22,34.42394634583566
192,8,361,23,34.42394634583566
