Timestep;EOM_price;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;NetworkManager;ENS_Cons_C
1.0;84.74;6979.28;6979.28;6979.28;929.23;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;662.99;0.0;8300.0;8774.73;7025.74;1748.99;203.23;0.0
2.0;74.87;6859.3;6979.28;6979.28;621.07;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;921.42;0.0;8300.0;8485.3;6793.33;1691.97;83.51;0.0
3.0;72.69;6585.81;6979.28;6979.28;552.7;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;1258.29;0.0;8300.0;8294.44;6640.38;1654.06;-102.35;0.0
4.0;71.43;6429.02;6979.28;6979.28;513.51;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;1589.57;0.0;8300.0;8194.5;6560.29;1634.21;-337.59;0.0
5.0;71.3;6412.11;6979.28;6979.28;509.28;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;1994.74;0.0;8300.0;8362.81;6695.02;1667.79;-553.32;0.0
6.0;73.26;6657.77;6979.28;6979.28;570.69;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;2319.7;0.0;8300.0;8880.79;7109.84;1770.95;-667.37;0.0
7.0;88.83;6979.28;6979.28;6979.28;1057.08;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;2609.64;0.0;8300.0;9790.41;7839.29;1951.12;-855.59;0.0
8.0;116.27;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;1.15;0.0;18662.0;328.38;5189.52;5189.52;2935.3;0.0;8300.0;11276.66;9031.83;2244.83;-478.22;0.0
9.0;129.64;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;604.99;0.0;18662.0;495.51;5189.52;5189.52;3049.95;0.0;8300.0;12063.07;9662.98;2400.09;-577.44;0.0
10.0;97.15;6979.28;6979.28;6979.28;1317.07;1510.78;1510.78;2532.6;0.0;18662.0;89.33;5189.52;5189.52;3048.47;0.0;8300.0;11984.87;9597.22;2387.65;-1981.86;0.0
11.0;74.44;6805.46;6979.28;6979.28;607.61;1510.78;1510.78;4952.73;0.0;18662.0;0.0;5189.52;5189.52;3125.69;0.0;8300.0;11543.08;9241.34;2301.74;-3948.41;0.0
12.0;136.76;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;6487.49;0.0;18662.0;584.5;5189.52;5189.52;830.08;0.0;8300.0;13248.03;11200.01;2048.02;-3144.1;0.0
13.0;67.22;5902.82;6979.28;6979.28;381.96;1510.78;1510.78;7171.92;0.0;18662.0;0.0;5189.52;5189.52;3606.68;0.0;8300.0;11353.99;9089.3;2264.69;-5709.38;0.0
14.0;67.37;5921.05;6979.28;6979.28;386.51;1510.78;1510.78;7018.32;0.0;18662.0;0.0;5189.52;5189.52;3863.16;0.0;8300.0;11491.01;9199.0;2292.0;-5698.04;0.0
15.0;70.52;6314.81;6979.28;6979.28;484.95;1510.78;1510.78;5549.7;0.0;18662.0;0.0;5189.52;5189.52;4166.22;0.0;8300.0;11730.65;9391.14;2339.51;-4785.04;0.0
16.0;80.86;6979.28;6979.28;6979.28;808.01;1510.78;1510.78;3040.08;0.0;18662.0;0.0;5189.52;5189.52;4407.63;0.0;8300.0;12035.14;9635.9;2399.24;-3199.86;0.0
17.0;121.7;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;652.47;0.0;18662.0;396.25;5189.52;5189.52;4575.34;0.0;8300.0;12649.73;10132.12;2517.62;-1464.39;0.0
18.0;505.16;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.01;0.0;18662.0;5189.51;5189.52;5189.52;830.08;0.0;8300.0;16280.19;14400.01;1880.18;1770.53;0.0
19.0;5414.5;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;18662.0;5189.52;5189.52;5189.52;830.08;0.0;8300.0;13114.6;11600.01;1514.59;-1395.06;0.0
20.0;135.88;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;18662.0;573.56;5189.52;5189.52;4973.61;0.0;8300.0;12529.16;10036.97;2492.19;-1508.07;0.0
21.0;99.44;6979.28;6979.28;6979.28;1388.81;1510.78;1510.78;0.0;0.0;18662.0;118.02;5189.52;5189.52;5091.11;0.0;8300.0;11934.3;9556.94;2377.36;-1642.92;0.0
22.0;85.58;6979.28;6979.28;6979.28;955.74;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;5221.81;0.0;8300.0;11346.63;9085.08;2261.55;-1810.2;0.0
23.0;74.39;6798.31;6979.28;6979.28;605.83;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;5364.77;0.0;8300.0;10661.45;8535.51;2125.94;-2107.45;0.0
24.0;70.69;6336.01;6979.28;6979.28;490.25;1510.78;1510.78;0.0;0.0;18662.0;0.0;5189.52;5189.52;5476.38;0.0;8300.0;9920.08;7941.68;1978.4;-2382.56;0.0
