Timestep;EOM_price;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;NetworkManager;ENS_Cons_B
1.0;84.74;6979.28;6979.28;6979.28;929.23;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;343.75;0.0;5315.0;8108.43;6492.24;1616.18;-143.83;0.0
2.0;74.87;6859.3;6979.28;6979.28;621.07;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;392.18;0.0;5315.0;7743.26;6199.25;1544.01;-129.29;0.0
3.0;72.69;6585.81;6979.28;6979.28;552.7;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;441.85;0.0;5315.0;7397.09;5921.98;1475.11;-183.27;0.0
4.0;71.43;6429.02;6979.28;6979.28;513.51;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;495.66;0.0;5315.0;7266.42;5817.29;1449.13;-171.77;0.0
5.0;71.3;6412.11;6979.28;6979.28;509.28;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;568.44;0.0;5315.0;7241.66;5797.46;1444.2;-248.17;0.0
6.0;73.26;6657.77;6979.28;6979.28;570.69;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;672.95;0.0;5315.0;7465.38;5976.69;1488.7;-436.03;0.0
7.0;88.83;6979.28;6979.28;6979.28;1057.08;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;774.07;0.0;5315.0;7850.58;6286.05;1564.53;-959.85;0.0
8.0;116.27;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;11.67;0.0;8788.0;328.38;3654.51;3654.51;833.72;0.0;5315.0;8129.54;6511.2;1618.34;-1534.28;0.0
9.0;129.64;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;115.59;0.0;8788.0;495.51;3654.51;3654.51;871.58;0.0;5315.0;8393.19;6723.27;1669.92;-1579.55;0.0
10.0;97.15;6979.28;6979.28;6979.28;1317.07;1510.78;1510.78;304.18;0.0;8788.0;89.33;3654.51;3654.51;879.49;0.0;5315.0;8999.25;7206.4;1792.85;-570.09;0.0
11.0;74.44;6805.46;6979.28;6979.28;607.61;1510.78;1510.78;514.37;0.0;8788.0;0.0;3654.51;3654.51;864.88;0.0;5315.0;9383.6;7512.48;1871.13;591.28;0.0
12.0;5371.3;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;8788.0;3654.51;3654.51;3654.51;531.55;0.0;5315.0;11355.45;9600.01;1755.45;-1320.66;0.0
13.0;67.22;5902.82;6979.28;6979.28;381.96;1510.78;1510.78;733.7;0.0;8788.0;0.0;3654.51;3654.51;864.41;0.0;5315.0;9518.83;7620.18;1898.64;1635.94;0.0
14.0;67.37;5921.05;6979.28;6979.28;386.51;1510.78;1510.78;662.48;0.0;8788.0;0.0;3654.51;3654.51;865.5;0.0;5315.0;9454.79;7568.93;1885.86;1619.25;0.0
15.0;70.52;6314.81;6979.28;6979.28;484.95;1510.78;1510.78;470.32;0.0;8788.0;0.0;3654.51;3654.51;862.32;0.0;5315.0;9281.71;7430.61;1851.1;1149.3;0.0
16.0;80.86;6979.28;6979.28;6979.28;808.01;1510.78;1510.78;213.8;0.0;8788.0;0.0;3654.51;3654.51;878.55;0.0;5315.0;9084.57;7273.54;1811.03;204.93;0.0
17.0;121.7;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;31.11;0.0;8788.0;396.25;3654.51;3654.51;934.42;0.0;5315.0;9231.08;7393.87;1837.22;-620.75;0.0
18.0;9554.56;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;8788.0;3654.51;3654.51;3654.51;531.55;0.0;5315.0;11757.92;10400.01;1357.91;-918.2;0.0
19.0;5367.04;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;8788.0;3654.51;3654.51;3654.51;531.55;0.0;5315.0;14471.28;12800.01;1671.27;1795.16;0.0
20.0;135.88;6979.28;6979.28;6979.28;1510.78;1510.78;1510.78;0.0;0.0;8788.0;573.56;3654.51;3654.51;1001.65;0.0;5315.0;9859.87;7898.63;1961.24;-205.39;0.0
21.0;99.44;6979.28;6979.28;6979.28;1388.81;1510.78;1510.78;0.0;0.0;8788.0;118.02;3654.51;3654.51;973.09;0.0;5315.0;9400.81;7528.14;1872.68;-58.38;0.0
22.0;85.58;6979.28;6979.28;6979.28;955.74;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;924.74;0.0;5315.0;9059.12;7253.51;1805.62;199.36;0.0
23.0;74.39;6798.31;6979.28;6979.28;605.83;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;878.82;0.0;5315.0;8833.02;7071.68;1761.34;550.07;0.0
24.0;70.69;6336.01;6979.28;6979.28;490.25;1510.78;1510.78;0.0;0.0;8788.0;0.0;3654.51;3654.51;841.54;0.0;5315.0;8598.65;6883.79;1714.86;930.85;0.0
